,Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price,Age
5073,toyota,fortuner,2019,white,gas,automatic,2.7,-0.26725067709058126,riyadh,88500,4
5074,ford,taurus,2018,black,gas,automatic,3.5,-0.273664559961864,eastern,89000,5
5075,toyota,fj,2015,white,gas,automatic,4.0,1.2683679114075936,riyadh,89000,8
5076,ford,muang,2016,gray,gas,automatic,3.7,1.0766265708345089,eastern,89000,7
5077,ford,taurus,2018,black,gas,automatic,3.5,-0.273664559961864,eastern,89000,5
5078,hyundai,kona,2020,white,gas,automatic,2.0,-1.208172116776088,riyadh,89000,3
5079,ford,expedition,2016,red,gas,automatic,3.5,-0.5604760410796621,riyadh,89000,7
5080,chevrolet,silverado,2018,white,gas,automatic,5.3,-0.6883968358493213,eastern,89000,5
5081,mercedes,cls,2014,white,gas,automatic,3.0,1.3659746702908744,eastern,89000,9
5082,chevrolet,suburban,2015,white,gas,automatic,5.1,0.7390537881354156,madinah,89000,8
5083,toyota,land cruiser,2011,white,gas,automatic,4.6,1.732482262935604,eastern,89000,12
5084,hyundai,sonata,2020,gray,gas,automatic,2.5,-0.8080904996577712,riyadh,89500,3
5085,mercedes,c,2015,gray,gas,automatic,2.0,-0.5340778494725931,riyadh,90000,8
5086,hyundai,genesis,2017,brown,gas,automatic,5.0,-0.21579494007059088,riyadh,90000,6
5087,toyota,land cruiser,2016,white,gas,manual,4.0,0.468995561976141,riyadh,90000,7
5088,toyota,land cruiser,2015,white,gas,manual,4.0,0.7278945964330484,riyadh,90000,8
5089,chevrolet,caprice,2013,gray,gas,automatic,6.2,-0.7002697528636809,riyadh,90000,10
5090,chevrolet,caprice,2013,gray,gas,automatic,6.0,-0.7009352534924306,riyadh,90000,10
5091,lexus,es,2015,black,gas,automatic,3.6,0.9994670776461446,madinah,90000,8
5092,nissan,patrol,2016,white,gas,automatic,4.8,-1.18561260995514,riyadh,90000,7
5093,toyota,hilux,2017,white,gas,manual,2.7,-0.273664559961864,riyadh,90000,6
5094,toyota,rav4,2018,black,gas,automatic,1.8,-0.6305272159580483,makkah,90000,5
5095,lexus,is,2016,gray,gas,automatic,3.5,0.034973412791592634,eastern,90000,7
5096,ford,f-150,2016,white,gas,automatic,5.0,-1.2368272235589166,riyadh,90000,7
5097,lexus,is,2016,gray,gas,automatic,3.5,-1.2365571653327574,eastern,90000,7
5098,toyota,land cruiser,2019,white,gas,manual,4.0,-0.3797588630958647,riyadh,90000,4
5099,gmc,yukon,2013,white,gas,automatic,5.3,0.7486987247839612,riyadh,90000,10
5100,lexus,es,2014,white,gas,automatic,3.5,-0.07112089034240808,eastern,90000,9
5101,toyota,hilux,2019,white,gas,manual,2.7,-1.016324681899869,makkah,90000,4
5102,toyota,land cruiser,2015,white,gas,manual,4.0,0.27609682900523064,eastern,90000,8
5103,ford,explorer,2015,blue,gas,automatic,2.0,-0.8523607588745952,qassim,90000,8
5104,gmc,yukon,2014,red,gas,automatic,5.3,-0.3508240531502282,eastern,90000,9
5105,toyota,prado,2016,gray,gas,automatic,4.0,-0.5919474693638661,riyadh,90000,7
5106,mercedes,s,2011,white,gas,automatic,3.8,0.034973412791592634,madinah,90000,12
5107,toyota,land cruiser,2006,white,gas,manual,4.5,-0.4086936730415013,eastern,90000,17
5108,toyota,camry,2019,brown,gas,automatic,3.5,-0.49549810287841095,eastern,90000,4
5109,toyota,fj,2015,blue,gas,automatic,4.0,0.9608873310519626,makkah,90000,8
5110,toyota,hilux,2018,white,gas,manual,2.7,-0.775201265686231,aseer,90000,5
5111,toyota,camry,2019,white,hybrid,automatic,2.5,-0.3025993699075006,eastern,90000,4
5112,hyundai,elantra,2021,white,gas,automatic,2.0,-1.2092234148707794,riyadh,90000,2
5113,toyota,hilux,2017,white,gas,automatic,2.7,-0.254374686664773,eastern,90000,6
5114,nissan,patrol,2013,yellow,gas,automatic,5.6,1.9253809959065145,riyadh,90000,10
5115,lexus,es,2013,black,gas,automatic,3.6,0.08319809603432023,tabouk,90000,10
5116,mercedes,ml,2013,black,gas,automatic,3.3,0.3532563221935948,riyadh,90000,10
5117,hyundai,santa fe,2019,white,gas,automatic,3.5,1.0766265708345089,riyadh,90000,4
5118,nissan,patrol,2016,white,gas,automatic,5.3,3.5650202261592527,riyadh,90000,7
5119,toyota,prado,2015,white,gas,automatic,4.0,2.810786180242993,riyadh,90000,8
5120,toyota,prado,2015,white,gas,automatic,2.7,2.810786180242993,riyadh,90000,8
5121,mercedes,ml,2013,brown,gas,automatic,3.5,-0.3025993699075006,madinah,90000,10
5122,toyota,hilux,2018,white,gas,automatic,2.7,0.24716201905959406,eastern,90000,5
5123,ford,taurus,2018,brown,gas,automatic,3.5,-0.6691069625522303,eastern,91000,5
5124,toyota,hilux,2016,white,gas,automatic,2.8,-0.3025993699075006,makkah,91000,7
5125,toyota,prado,2016,white,gas,automatic,6.0,-1.236422136219678,qassim,91000,7
5126,chevrolet,suburban,2015,brown,gas,automatic,5.3,-0.10005570028804464,riyadh,91000,8
