Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price
hyundai,azera,2019,gray,gas,automatic,3,74000,riyadh,80000
gmc,yukon,2013,white,gas,automatic,5.3,194000,riyadh,80000
lexus,es,2016,blue,gas,automatic,3.5,200000,eastern,80000
gmc,yukon,2012,other,gas,automatic,5.3,65000,makkah,80000
ford,taurus,2018,other,gas,automatic,3.5,63000,makkah,80000
toyota,camry,2018,gray,gas,automatic,2.5,109000,qassim,80000
ford,edge,2017,blue,gas,automatic,3.5,82000,riyadh,80000
chevrolet,tahoe,2012,white,gas,automatic,5.3,61000,makkah,80000
gmc,yukon,2012,other,gas,automatic,1.5,65000,makkah,80000
gmc,yukon,2013,yellow,gas,automatic,4,141000,makkah,80000
chevrolet,impala,2019,white,gas,automatic,3.5,53000,qassim,80000
toyota,rav4,2017,white,gas,automatic,2.4,148000,makkah,80000
ford,expedition,2016,black,gas,automatic,3.5,197000,riyadh,80000
toyota,hilux,2018,white,gas,manual,2.4,130000,eastern,80000
gmc,yukon,2010,black,gas,automatic,4.5,115000,jizan,80000
toyota,prado,2013,yellow,gas,automatic,4,270000,riyadh,80000
toyota,fortuner,2017,white,gas,automatic,2.7,12000,makkah,80000
toyota,hilux,2018,white,gas,manual,2.7,194000,riyadh,80000
hyundai,tucson,2020,brown,gas,automatic,2,22000,makkah,80000
toyota,avalon,2017,white,gas,automatic,1.2,200000,riyadh,80000
chevrolet,tahoe,2014,gray,gas,automatic,3.5,95560,eastern,80000
gmc,suburban,2000,other,gas,automatic,6,128000,aseer,80000
chevrolet,impala,2016,black,gas,automatic,3.6,162000,eastern,80000
ford,expedition,2015,black,gas,automatic,5.4,225000,riyadh,80000
hyundai,azera,2018,white,gas,automatic,3.5,72900,riyadh,80000
chevrolet,silverado,2014,white,gas,automatic,5.3,164000,aseer,80000
ford,muang,2015,gray,gas,automatic,2.3,157000,riyadh,80000
ford,taurus,2016,gray,gas,automatic,3.5,48000,makkah,80000
gmc,sierra,2016,brown,gas,automatic,5.3,161,makkah,80000
ford,taurus,2019,gray,gas,automatic,2,48000,eastern,80000
toyota,camry,2019,black,hybrid,automatic,2.5,55000,makkah,80000
toyota,land cruiser,2015,other,gas,manual,4,360538,riyadh,80000
ford,f-150,2014,gray,gas,automatic,8,147000,riyadh,80000
toyota,prado,2014,white,gas,automatic,2.7,157,makkah,80000
mercedes,s,2012,gray,gas,automatic,4.7,188000,eastern,80000
