Brand,Model,Year,Color,fuelType,gearType,engineSize,Mileage,Region,Price
mercedes,s,2017,black,gas,automatic,3.5,76200.0,riyadh,220000
chevrolet,malibu,2013,white,gas,automatic,3.5,215000.0,eastern,26500
kia,cadenza,2018,black,gas,automatic,3.0,162400.0,makkah,54000
kia,sorento,2015,white,gas,automatic,2.4,154000.0,riyadh,30000
nissan,maxima,2016,black,gas,automatic,3.5,199000.0,riyadh,56500
toyota,innova,2017,white,gas,automatic,2.7,192000.0,makkah,56000
hyundai,santa fe,2016,white,gas,automatic,3.3,190000.0,riyadh,50000
hyundai,tucson,2017,gray,gas,automatic,2.0,165000.0,makkah,57000
hyundai,elantra,2016,gray,gas,automatic,1.6,304000.0,riyadh,30500
nissan,patrol,2021,blue,gas,automatic,4.0,55000.0,riyadh,260000
hyundai,genesis,2020,blue,gas,automatic,5.0,83000.0,riyadh,200000
hyundai,elantra,2022,gray,gas,automatic,2.0,58000.0,riyadh,60000
toyota,rush,2019,gray,gas,automatic,1.5,84000.0,makkah,50500
hyundai,sonata,2014,white,gas,automatic,2.4,321500.0,riyadh,35000
hyundai,tucson,2015,white,gas,automatic,2.0,187000.0,makkah,42000
hyundai,sonata,2018,brown,gas,automatic,2.4,211888.0,riyadh,50000
chevrolet,traverse,2016,white,gas,automatic,3.6,170000.0,makkah,42000
hyundai,elantra,2015,gray,gas,automatic,1.6,401000.0,eastern,30000
hyundai,accent,2017,white,gas,automatic,1.4,286000.0,riyadh,26000
mercedes,cls,2019,brown,gas,automatic,2.0,31000.0,makkah,249000
gmc,yukon,2017,black,gas,automatic,5.3,194000.0,riyadh,101500
hyundai,tucson,2018,white,gas,automatic,2.0,30000.0,makkah,76000
hyundai,accent,2018,gray,gas,automatic,1.4,268000.0,riyadh,27500
gmc,sierra,2013,white,gas,automatic,6.2,344000.0,makkah,41000
hyundai,accent,2019,gray,gas,automatic,1.4,114000.0,makkah,38000
hyundai,tucson,2015,red,gas,automatic,2.0,285000.0,riyadh,31500
ford,escape,2016,black,gas,automatic,2.5,178000.0,riyadh,30000
toyota,fortuner,2015,white,gas,automatic,2.4,260000.0,riyadh,45000
kia,sportage,2020,white,gas,automatic,1.6,94000.0,riyadh,77000
chevrolet,malibu,2016,white,gas,automatic,2.5,209000.0,makkah,35000
nissan,patrol,2017,gray,gas,automatic,4.0,131000.0,makkah,152500
mercedes,s,2018,white,gas,automatic,3.0,107000.0,makkah,330000
lexus,es,2019,white,gas,automatic,3.5,24000.0,makkah,205500
lexus,es,2022,gray,gas,automatic,3.5,10000.0,riyadh,250000
hyundai,sonata,2022,black,gas,automatic,2.5,13600.0,riyadh,103000
mercedes,s,2014,white,gas,automatic,4.7,179000.0,makkah,203000
nissan,navara,2014,white,gas,automatic,2.5,171000.0,makkah,40000
nissan,patrol,2018,white,gas,automatic,4.0,87000.0,riyadh,151000
hyundai,tucson,2017,gray,gas,automatic,2.0,200300.0,makkah,62000
lexus,es,2019,gray,gas,automatic,3.5,63000.0,makkah,155000
chevrolet,tahoe,2014,yellow,gas,automatic,5.3,290000.0,makkah,68500
lexus,lx,2021,green,gas,automatic,5.7,20000.0,makkah,420000
lexus,lx,2016,yellow,gas,automatic,5.7,251000.0,riyadh,253000
lexus,is,2016,black,gas,automatic,3.5,161000.0,makkah,105000
nissan,x-trail,2022,white,gas,automatic,2.5,10000.0,makkah,136000
chevrolet,tahoe,2014,yellow,gas,automatic,5.3,251000.0,makkah,58000
toyota,hilux,2020,white,gas,automatic,2.7,119000.0,makkah,90000
lexus,rx,2019,blue,gas,automatic,3.5,60000.0,makkah,180500
mercedes,s,2018,white,gas,automatic,3.0,123919.488,makkah,289500
ford,expedition,2011,gray,gas,automatic,5.4,283000.0,riyadh,29000
ford,expedition,2014,black,gas,automatic,5.4,265000.0,makkah,52500
toyota,land cruiser,2013,white,gas,automatic,4.6,289000.0,riyadh,99000
lexus,es,2015,black,gas,automatic,3.5,181000.0,riyadh,81000
toyota,fortuner,2018,white,gas,automatic,2.7,76000.0,makkah,90000
kia,optima,2015,white,gas,automatic,2.4,257000.0,riyadh,38000
toyota,corolla,2020,white,gas,automatic,1.6,22000.0,riyadh,72000
chevrolet,impala,2014,white,gas,automatic,3.6,112000.0,riyadh,65000
kia,sorento,2012,black,gas,automatic,3.5,272000.0,makkah,36000
gmc,yukon,2020,black,gas,automatic,5.3,80000.0,makkah,167000
mercedes,s,2013,white,gas,automatic,3.5,165000.0,riyadh,100000
toyota,land cruiser,2015,white,gas,automatic,4.6,50000.0,riyadh,173000
kia,sorento,2013,gray,gas,automatic,3.5,196000.0,makkah,36500
hyundai,sonata,2020,gray,gas,automatic,2.5,153000.0,makkah,76000
chevrolet,camaro,2015,gray,gas,automatic,6.2,200800.0,riyadh,70000
nissan,maxima,2016,red,gas,automatic,3.5,77000.0,makkah,71500
hyundai,h1,2013,yellow,gas,automatic,2.4,232000.0,riyadh,30000
mercedes,ml,2013,white,gas,automatic,5.5,167000.0,makkah,110000
toyota,fortuner,2020,white,gas,automatic,2.7,195000.0,riyadh,85000
chevrolet,tahoe,2020,black,gas,automatic,5.3,129000.0,makkah,132000
mercedes,s,2016,black,gas,automatic,4.7,163000.0,makkah,198000
mercedes,e,2019,black,gas,automatic,2.0,101000.0,riyadh,178500
lexus,es,2016,black,gas,automatic,3.5,117500.0,riyadh,116000
